Simulated,Obsereved
135.651908,366.1722229
91.93,386.1620186
84.5756,356.6779748
84.5756,334.052011
80.8984,372.1230955
99.2844,612.4151499
294.176,2010.630399
1250.248,2721.933659
956.072,1710.553499
845.756,1178.191886
808.984,855.0614532
742.7944,451.4999636
680.282,529.2804096
588.352,633.5206095
625.124,479.604861
959.7492,362.2947465
999.46296,518.9797363
772.212,770.4803209
1055.3564,2858.292303
4585.4684,6834.043068
3419.796,8177.463543
2500.12828,15359.12466
2546.82872,16467.92395
1873.5334,5059.561578
1250.248,333.6396823
733.23368,326.1429684
629.90436,457.6910832
447.88296,627.4991463
404.492,1620.92799
355.03366,2080.606066
763.019,1043.391875
441.264,439.8264781
452.66332,398.0233311
2569.25964,3388.385419
1660.62352,4530.71277
1066.388,2591.538892
1801.828,1947.575661
1397.336,1210.947683
1470.88,6603.240262
2042.6846,10994.72955
2868.216,8788.222863
2794.672,9154.041029
2681.04652,8170.05126
4670.044,6469.290901
2776.286,6576.889585
3419.796,6366.883469
9880.6364,8114.763276
6828.5604,12723.34656
14374.1748,19482.56415
110316,44365.01162
17738.8128,40749.35054
10211.5844,9460.185031
5148.08,2111.124622
5221.624,1126.485595
4044.92,1084.653055
3857.3828,5410.599726
76779.936,19948.57875
27424.5576,25207.46981
17742.49,12302.88822
12870.2,3446.196568
9417.3092,8429.922086
7060.224,11921.04265
5221.624,6267.913639
4607.5316,1949.360773
3725.0036,751.3863968
2862.33248,563.4370789
2776.286,573.9039744
2158.5164,582.8357427
2224.706,561.9383562
1875.372,1439.931049
2353.408,4187.479009
4044.92,4752.986155
2500.496,2282.291381
2279.864,1678.306666
13296.7552,7223.63004
21327.76,20668.48389
28928.5324,26858.18411
15458.9488,18101.6959
12594.41,20354.70408
23901.8,29857.2723
20224.6,19587.19403
14238.1184,9163.071946
12870.2,7537.652776
10171.1352,3208.451978
8667.1604,910.2993117
7894.9484,683.3862634
6887.3956,673.5139917
4044.92,673.3485979
4578.114,1045.91587
3041.0444,3083.883041
8486.9776,9399.274842
8089.84,10438.13967
6618.96,5965.954558
5148.08,3501.7249
4964.22,5229.18996
6957.2624,15163.85784
8372.9844,14894.68521
6115.1836,4644.709334
10744.7784,4523.39095
8766.4448,8019.955167
10229.9704,7983.509441
7170.54,5462.835594
6151.9556,1990.789827
4780.36,755.6719412
3015.304,749.3648584
3582.32824,3086.226478
3273.07572,7375.232081
6203.4364,7469.593634
3861.06,3989.515235
3625.7192,1661.502615
2731.42416,1355.776658
2610.812,1494.951954
2062.9092,1935.729977
2163.66448,2028.771805
2059.232,1088.290169
1985.688,960.1059491
2103.3584,1171.632627
1801.828,993.4976886
1691.512,739.2637927
2011.79612,792.3662788
1857.72144,965.8879638
1617.968,923.1150991
1526.038,741.1127766
1507.652,641.700472
1752.1858,630.0400702
1627.161,623.8307184
1250.248,617.8809998
1451.39084,612.0737077
1213.476,606.4155895
1176.704,608.8751194
835.82756,609.6689933
1507.652,596.4298971
1323.792,585.1131263
1739.68332,580.1126726
1067.49116,575.2277114
1139.932,570.4572357
1066.388,565.8219026
942.46636,561.3002844
912.31332,556.9223956
956.072,552.7339904
597.17728,548.7116306
582.46848,544.7922734
698.668,540.9228157
661.896,537.0950342
564.08248,533.3202309
661.896,529.6205488
661.896,525.9956305
643.51,522.4542969
520.69152,518.9820443
588.352,515.5773333
569.966,512.2865775
497.89288,509.0779822
459.65,505.921362
449.35384,502.8604033
467.0044,499.8980059
428.76152,497.0027946
453.39876,494.1668382
444.9412,491.3985444
440.16084,488.6944772
444.9412,486.0247131
430.96784,483.3824173
418.83308,480.7880982
397.1376,478.2501638
397.1376,475.7507076
397.1376,473.2912075
430.60012,470.8651823
397.1376,468.4693783
417.72992,466.128092
411.8464,463.8266166
386.106,461.5663706
384.2674,459.3558771
371.3972,457.1597105
334.551656,455.0044476
371.3972,452.912408
371.3972,450.8370592
371.3972,448.7908353
345.6568,446.7948107
316.459832,444.8338281
338.3024,442.8906049
314.621232,440.9727486
334.6252,439.0892529
304.766336,437.2601596
293.146384,435.4538867
282.335416,433.6640106
273.546908,431.9156021
